ConfigID	k_StrategiesPerAgent	K_StrategySpace	l_Lambda	m_Memory	n_Agents	p_Crowded	s_Seed	ABMAT_Max_t	ABMAT_SeqMC_BCc	ABMAT_SeqMC_Pv	ABMAT_SeqMC_seed	ABMAT_Window
1.0	0.0	0.0	0.5	12.0	10.0	0.2	440200423.0	1000.0	20.0	0.05	629529958.0	300.0
2.0	0.0	0.2	0.5	12.0	10.0	0.2	1924866513.0	1000.0	20.0	0.05	27921419.0	300.0
3.0	0.0	0.4	0.5	12.0	10.0	0.2	183628173.0	1000.0	20.0	0.05	446432334.0	300.0
4.0	0.0	0.6	0.5	12.0	10.0	0.2	56977475.0	1000.0	20.0	0.05	389629631.0	300.0
5.0	0.0	0.8	0.5	12.0	10.0	0.2	1252072218.0	1000.0	20.0	0.05	905002331.0	300.0
6.0	0.0	0.0	0.5	12.0	2010.0	0.2	1916997902.0	1000.0	20.0	0.05	1755446681.0	300.0
7.0	0.0	0.2	0.5	12.0	2010.0	0.2	734047174.0	1000.0	20.0	0.05	557107582.0	300.0
8.0	0.0	0.4	0.5	12.0	2010.0	0.2	815383238.0	1000.0	20.0	0.05	1267648736.0	300.0
9.0	0.0	0.6	0.5	12.0	2010.0	0.2	575662286.0	1000.0	20.0	0.05	1340349573.0	300.0
10.0	0.0	0.8	0.5	12.0	2010.0	0.2	879204829.0	1000.0	20.0	0.05	1185512294.0	300.0
11.0	0.0	0.0	0.5	12.0	4010.0	0.2	936574590.0	1000.0	20.0	0.05	632360404.0	300.0
12.0	0.0	0.2	0.5	12.0	4010.0	0.2	2036787967.0	1000.0	20.0	0.05	1639830956.0	300.0
13.0	0.0	0.4	0.5	12.0	4010.0	0.2	300890755.0	1000.0	20.0	0.05	1865020776.0	300.0
14.0	0.0	0.6	0.5	12.0	4010.0	0.2	1046750528.0	1000.0	20.0	0.05	1921036279.0	300.0
15.0	0.0	0.8	0.5	12.0	4010.0	0.2	1717676082.0	1000.0	20.0	0.05	913139048.0	300.0
16.0	0.0	0.0	0.5	12.0	6010.0	0.2	48252473.0	1000.0	20.0	0.05	576980236.0	300.0
17.0	0.0	0.2	0.5	12.0	6010.0	0.2	1163150619.0	1000.0	20.0	0.05	1360384118.0	300.0
18.0	0.0	0.4	0.5	12.0	6010.0	0.2	553809588.0	1000.0	20.0	0.05	299264891.0	300.0
19.0	0.0	0.6	0.5	12.0	6010.0	0.2	1792999030.0	1000.0	20.0	0.05	2113987585.0	300.0
20.0	0.0	0.8	0.5	12.0	6010.0	0.2	1128911070.0	1000.0	20.0	0.05	368678460.0	300.0
21.0	0.0	0.0	0.5	12.0	8010.0	0.2	584775531.0	1000.0	20.0	0.05	39493678.0	300.0
22.0	0.0	0.2	0.5	12.0	8010.0	0.2	1963441736.0	1000.0	20.0	0.05	252868526.0	300.0
23.0	0.0	0.4	0.5	12.0	8010.0	0.2	1238059704.0	1000.0	20.0	0.05	588529106.0	300.0
24.0	0.0	0.6	0.5	12.0	8010.0	0.2	1190088198.0	1000.0	20.0	0.05	1398914632.0	300.0
25.0	0.0	0.8	0.5	12.0	8010.0	0.2	1781856955.0	1000.0	20.0	0.05	443286306.0	300.0
26.0	0.0	0.0	0.5	12.0	10.0	0.4	23613363.0	1000.0	20.0	0.05	293959653.0	300.0
27.0	0.0	0.2	0.5	12.0	10.0	0.4	1932775315.0	1000.0	20.0	0.05	1876664651.0	300.0
